,Star ID,Star X (pix),Star Y (pix),Star Flux,Pixel Error WCS Method Twirl,RA/Dec Error WCS Method Twirl,Pixel Error WCS Method SIP,RA/Dec Error WCS Method SIP,Pixel Error WCS Method Web_Astro,RA/Dec Error WCS Method Web_Astro,Pixel Error WCS Method Manual,RA/Dec Error WCS Method Manual
0,0,3278.3648708856235,1652.5261005053374,1009.4699874909121,0.48741892143205656,0.2685471283540514,0.7110291236479166,0.329532157360902,758392.3663812522,91356.74646845565,1.4650287205919474,0.8372048133152313
1,1,2433.961289143125,1758.269892556301,857.4306162515044,0.4678911962446614,0.23888284350848524,0.6825081989025746,0.3481439300443989,758393.1789887138,91098.98690952084,1.726981098514915,0.7031424306362701
2,3,2594.0577733853415,1660.965182310207,636.560645257802,0.4367965148282559,0.23454643384979687,0.7596952509665736,0.3829378789574063,758393.0364923929,91147.29700670321,1.6805499443370546,0.7252838325315923
3,4,827.1495712008073,1823.728261636545,432.3239209046383,0.42981000509607425,0.20077014172997285,1.1823823875711585,0.6496529063689565,758393.9510242487,90627.27732057792,2.458118819332944,1.025608213420996
4,5,389.1448319596921,1668.3757458908356,155.53302615127492,0.15439650372901537,0.08297182809451095,2.1955481544079665,1.221302151809137,758394.4245048137,90502.94900470182,2.733378447995757,1.2353744766265573
5,6,1399.9125490522197,555.6374712615416,137.31481061851798,0.5719065245344954,0.263600684542935,2.1191549887710948,0.9275640047400754,758394.7054208431,90791.71428423977,2.8937790839498394,1.13816979015092
6,7,1434.5416619796663,1671.9337505926255,131.59374681268497,0.4043070173389134,0.19185255362818776,0.5739015480293914,0.2396190401782178,758393.8704466152,90802.5394742548,2.343015851179635,0.9274769959339004
7,8,2610.3292941416044,2729.472976784398,98.11081926749414,1.1995990162255734,0.5201883629708248,0.10697046091214589,0.06293943257562665,758393.0448121652,91152.7874113809,0.916646081384015,0.36362108238204166
8,9,3625.4702771249704,1393.31667478273,85.03085912278793,0.34660489134391775,0.1911918205924256,0.6708352803428648,0.26040541955742696,758391.8401815795,91464.4951393412,2.038899438171731,1.2016932455923808
9,10,739.5367044736353,2364.289097109725,91.50771918158716,0.7678780863004334,0.32925184228600257,1.369579931583923,0.8093235221557256,758393.2088014246,90602.69433666772,2.1237818875502694,0.8565035886592067
10,11,1928.7464616123773,1965.9991479373157,80.13885570134852,0.6039475445509189,0.2816830353418482,0.39311314960039145,0.1912694939247412,758393.4022057278,90948.09803783779,1.9722070183689615,0.7655155095189078
11,12,133.82507125208036,1562.3226149939426,76.35979933719588,0.19618024314204255,0.11453659728254112,2.7260357560496153,1.529975350775429,758394.5898457137,90431.29991043256,2.7350939727390386,1.3020265714028136
12,13,2964.486815211953,934.452517357081,1.0479441055083871,41.00496022115071,24.25366081269986,41.0541157557748,24.310759972892377,758430.7693654903,91251.07445309393,39.40065169983134,23.293750086294573
13,14,2461.4127354843613,2194.4515506887274,56.28759880327464,0.7965441936079525,0.372721759601551,0.4664948579761944,0.26170930149296645,758393.0672426638,91107.51145246558,1.4142896169685883,0.5594985361331359
14,15,138.47168493802965,755.9205566167532,65.30245618871552,0.6045022470470516,0.2348950361449726,4.032524080712293,2.1354671626802606,758396.2189338076,90431.95997649651,3.782893534242148,1.913454771276778
15,16,2533.4336750493553,882.3759992116129,54.77527302543127,0.39701135372897234,0.21912614434116043,1.1341326668279634,0.4499349942569389,758392.9737450227,91128.49287765434,2.302421798612133,1.0791629207490294
16,17,3400.0260921874165,132.0608021454961,50.26174489229806,0.6521916837403045,0.27475061317496224,2.0978081842777354,0.9500191752932863,758391.1248179183,91393.66552782452,3.864441203676174,2.2569616264008503
17,18,1023.5139397063438,829.7401016970781,1.2564259211211477,41.55694804027543,21.62024500198306,39.66118134662868,20.616379885292424,758356.7911125103,90678.09850982916,39.029518023858536,20.489386647205258
18,19,2632.516786746638,1288.7190229761989,45.2711863617338,0.29282475686163884,0.17324676242901826,0.8799290456565025,0.3900648823260701,758392.9861731791,91158.726135995,1.9210211073832357,0.8794424376437844
19,20,3073.091227614498,935.1723282584398,41.64293264290562,0.36440148455204624,0.20388137199873724,1.0271192252957453,0.4058815806575197,758392.227726499,91293.05821023647,2.3455541715836894,1.2999896322606947
20,21,3105.352382455949,473.7480540109104,39.03754465850982,0.530181467349439,0.24964921491719605,1.4949020036966463,0.6001968935041206,758391.9090969955,91302.74090344377,3.004538122479339,1.6945947653177102
21,22,902.5602423679945,872.4278297447876,40.64923328074556,0.41545979738276434,0.19882234914859523,2.1570797594850935,1.0287351994160912,758395.0552862053,90648.17711224276,3.0393029071799105,1.2988262559902481
22,23,4254.2812450560305,546.0398820569096,32.65817945686653,0.28044132832579477,0.13740003233369424,1.8276161647201516,0.9435736215178884,758389.773580944,91662.49288494104,4.819794293663766,2.765601242223227
23,24,3142.8231699799676,782.7372379639093,32.811362353181124,0.4231309274935647,0.21984621832905857,1.1649102766633148,0.45193260920147293,758392.0329073924,91314.4495914449,2.615785843616002,1.4746288294616103
24,25,1892.0619360174815,1887.282584722132,32.18666909314864,0.5455260382945615,0.2933703794913611,0.6076768467157314,0.2876700454566804,758393.3865174495,90937.24828003313,2.1693420470735543,0.8434508862044711
25,26,1985.56833613534,914.2749971396222,32.722837911497585,0.42235299337727844,0.22613500931745584,1.2507136450620373,0.4852969244410203,758393.7163138739,90964.32336776222,2.489328421556239,0.9926157939785625
26,27,279.3278220753749,1521.5813239781496,32.902855086247065,0.09495973412194608,0.054362058024048115,2.566020149617887,1.4181834850659294,758394.7361496786,90471.97792205922,2.895727016555509,1.3549653266452082
27,28,3545.9740791085965,1097.1996002458961,28.234506153761476,0.31529191952422453,0.18339122821424206,0.9056212883860157,0.3515377599112065,758391.6731230657,91439.56681687561,2.4746738392153405,1.459518999070758
28,29,786.8192888274776,2151.228605609708,29.249172436881143,0.6046112050488858,0.26189720631949137,1.239216428194546,0.7189781395666389,758393.5427019637,90616.01318661634,2.2823598136817083,0.9363923342218045
29,30,1192.4373066848862,2578.0463018152186,25.867279039173223,0.8385514562762506,0.3543124363605973,0.9178552498353707,0.5426825370137881,758393.1116758542,90732.89855394312,2.1221073953163505,0.8389903220132006
30,31,827.1031351152341,420.34217574284463,28.056414218273055,0.7953565203865748,0.31975314289492884,3.3343530196657434,1.612603920439579,758395.8014496951,90626.28137346213,3.5150526521841297,1.5496419804794068
