,Star ID,Star X (pix),Star Y (pix),Star Flux,Pixel Error WCS Method Twirl,RA/Dec Error WCS Method Twirl,Pixel Error WCS Method SIP,RA/Dec Error WCS Method SIP,Pixel Error WCS Method Manual,RA/Dec Error WCS Method Manual
0,1,3465.875992609869,1948.9189087174411,889.5201940660326,0.18382920941882966,0.08746186036127089,0.8297943593592717,0.3513764570842767,1.4901038567365823,0.7544201597137826
1,2,2621.239437629873,2054.114595707903,584.8971952063971,0.30336736657653923,0.14945570417401385,0.6715709022142384,0.26128343128315235,2.3344454656030518,0.906568489559177
2,3,2781.4622263308306,1956.8123913481286,425.3968031306426,0.42830023536944944,0.17532649324155516,0.4538590723415283,0.18037221423575325,1.9264458751528086,0.7606149041088723
3,4,1014.4811048883622,2118.291851587859,336.22448151770226,0.778377323295966,0.4598127693860526,2.1002346803256273,1.083565353812893,3.7138877530652428,1.6064347689183123
4,5,576.9960125746173,1962.6246776109758,132.336777901908,0.9038868490514527,0.5376291622583648,3.107296019275004,1.6769642236171758,3.840163365113042,1.7674720421367682
5,6,1588.020853380452,850.907440338119,107.81793103908564,1.0956233369315755,0.6529266772689369,1.5443550496448122,0.7227827840414127,2.936747175487579,1.143543937493771
6,7,4088.11694503423,2148.2446620818855,104.19943149078837,0.27923008910819525,0.16466675736229047,1.9017833263141135,0.9822489190701503,1.375318264337694,0.8096130262501435
7,8,1621.7018623121494,1966.9191597371619,95.99705190102067,0.7299411752646622,0.4227532923487907,1.007758127492067,0.4296919132456755,3.2349456509660492,1.3074164765792196
8,9,3412.7182811210414,1832.0494804619423,84.09115259765659,0.017413774114992273,0.009520880760605175,0.8577772143936274,0.3334361637391318,1.8121435902817793,0.9238967624297679
9,10,926.642450950867,2659.0614674129592,70.8142620693118,0.41038890705204883,0.2447293487648721,3.154257803013541,1.7062415206463732,4.146366510870774,1.817237345467853
10,11,322.2987810430262,1856.6852780775027,70.94409031943506,0.9479915269931148,0.5667315116699566,3.934877639954267,2.151510720917054,3.9998892856088926,1.9209010830590556
11,12,327.92442188437013,1050.6955154647085,69.75910562156803,1.2835102391275093,0.765867192490206,4.510928571120803,2.5099127150785394,3.91403778599917,1.9863944779300722
12,13,3812.939167591764,1690.1529396043652,59.88429373255329,0.09471784232284051,0.042077972992742144,0.8688014857796175,0.3496283327784623,2.3141802124496085,1.361661681613127
13,14,2115.9583206677985,2261.6207594265115,55.50027703694962,0.3907537880439278,0.230561245231209,1.0327091563586974,0.4240323410898939,3.1546771380446117,1.2544936279081507
14,15,3509.424553889337,199.3502265425263,55.25138893169917,0.6188255539306373,0.36681693267737325,1.232804035043233,0.5651063953094925,5.130995510089367,3.026030804342693
15,16,3111.1686037357326,1234.2877607810253,39.925141901374694,0.29941137904532483,0.17039714796356803,0.7676395242220153,0.35129167601324734,2.4932425308029695,1.3286009007963893
16,17,2721.3036318438526,1178.4631986804018,39.982590888713936,0.5388242336160436,0.31245182899168206,0.80224879844703,0.38204025656080387,2.4885605680253673,1.185954954037304
17,18,2648.4521926256843,2490.516769242765,37.33870963292855,0.10601080749722244,0.05124906526110711,1.2114882986900979,0.5655079106962293,2.6568183398865006,1.0596337484872806
18,19,3588.3979176433254,428.64545734296496,38.817801433341934,0.5823261079378246,0.33821597715141477,0.8230974198040307,0.3393131249349734,4.853542446472763,2.8664492207644443
19,20,1242.9306593608642,1151.8179537903634,35.37654221289365,1.070532386630934,0.6329336890511285,1.7417123807446622,0.8766105926031854,3.136602424283027,1.3045223979020935
20,21,1090.4749399271948,1167.0851799361724,32.329685104913835,1.1977918835215813,0.7097585714246188,1.986636878724955,1.0182618961332799,3.2124487944271003,1.3646986550550755
21,22,2820.215042985872,1584.8629238957694,30.502794675622336,0.273876482009755,0.15575588844413157,0.7863927510967924,0.35396940855497605,2.238697078739372,0.9709296048209667
22,23,3260.921670680026,1231.7937719783881,28.844960795009104,0.2748342291818303,0.1628489911162733,0.873150646127736,0.38496083049980123,2.6835960654019315,1.4777412898542888
23,24,467.49051502630317,1815.8147065478909,28.28990748831554,0.9938308207018156,0.5929457361638814,3.411443053863088,1.8494237819371167,3.8693784981089347,1.8183522790835456
24,25,3293.468265294901,770.3840850012708,29.140290760475956,0.4687157098769739,0.2757161738431376,0.9171739812143657,0.3672800066742308,3.5587857995147583,2.042345562366265
25,26,1015.827895206474,715.158660972957,27.593149734890584,1.3198717635849793,0.7778267156549686,2.850950231443837,1.5613354037391267,3.0372638458914993,1.3361297195484934
26,27,2334.2361559743154,2460.5035866734497,25.29455005544119,0.30375799545274007,0.15314062603157247,1.0585177545964668,0.4912634610903845,2.900075287814032,1.1669083419000439
27,28,2274.250672569071,2528.389489285062,23.765564624067228,0.22374883571232082,0.11050376168967103,1.259167958059635,0.6100883483282595,3.0749305092255903,1.2554759714872938
28,29,4442.236128609891,843.4594221517608,24.165266489000743,0.3393569062267352,0.1643343088518145,1.5483330087967357,0.690471338130988,5.904871576522831,3.4326792522895246
29,30,3330.8121180820503,1079.243645435006,22.726179007961722,0.2615898180183532,0.15496432072220917,0.8208063790675475,0.3464071888744081,2.9495971349474663,1.6743682989178605
30,31,2173.4978235034678,1209.9785302827795,23.65132446038422,0.6776920381859387,0.3944890189018235,0.7474797567976165,0.29793635158445725,2.5885582028210745,1.0291093367239819
31,32,2086.686343555695,211.5281589826542,23.280295793490335,1.272999482088726,0.7433135027569433,1.648924819646007,0.8703549464756793,2.602215913639192,1.22365259098958
32,33,2079.406076713147,2182.8822094597626,23.019396179608556,0.45270488145901633,0.2688847998470225,1.0249931731124444,0.407036528812016,3.17901651528039,1.257030977732287
33,34,974.013215597596,2445.926134812248,22.315888634277435,0.5602624733290923,0.3268556119644459,2.5959550643362195,1.3944448892216343,3.8929914566947432,1.7069954398676022
34,35,1714.4561030506682,2063.250514713647,21.716242147214647,0.49116471121723904,0.2883015091731529,1.141771775128578,0.499741793305447,3.371190022965331,1.3730741161727278
35,36,1154.3814641423232,1281.3624138380294,19.455790977688075,1.008871371615421,0.6011189302859795,1.917799804805316,0.957466003946249,3.3739279240656486,1.4269912026681697
36,37,1379.1698892472555,2873.2996552920167,18.87682725453824,0.35239552975356603,0.20962221834685865,2.735799039565366,1.4575479279249455,4.096904339223427,1.7382733195358582
37,38,3733.649796670207,1393.9814960670574,19.405313702113506,0.1633869176954473,0.08520087160006133,0.7489613439285617,0.2925219383590546,2.866842322652068,1.6877266554042882
38,39,3551.9250400051874,2306.354104316917,19.143132471151244,0.20606661415726005,0.09489451221938866,1.2928273453729118,0.6465098351309235,1.0927101700295594,0.4872451442093413
39,40,4088.3838979595002,244.6925638654304,18.70230977081167,0.3970954913675427,0.23348439160971685,1.4466325512405644,0.7195170828824683,6.542682197718256,3.839689088921111
40,41,4636.352285019954,2280.32226566013,1.578183835463893,12.714276889109708,7.486475473671562,15.144690682116016,8.946322059721757,10.988646307324181,6.378082159385957
41,42,2742.9731053228843,1612.716041519576,1.1879675820300453,44.53035448795626,17.28177626257642,45.31498824084055,17.587998465908043,46.75445410634775,18.152267389180558
42,43,3291.7528016557585,46.18794079382311,15.948092112503272,0.8225415655902845,0.46541793885232274,1.2386661920063156,0.6463554080559276,4.884107360231386,2.8810413075984758
43,44,1575.3673595837004,650.956359897153,14.639553302106632,1.2579267951858086,0.7397476631879581,1.6332808555947205,0.8346456858156786,2.6147037124308334,1.0153507710201737
44,45,2340.7529425767266,2086.171249646805,15.411223791647364,0.2883562113366722,0.16965959836617964,0.8913900060038606,0.34690393606604236,2.8487227018333257,1.1133485997081651
45,46,2967.4706820791166,2270.8309024669516,14.305926455193061,0.1862008097177733,0.08315812880762063,0.9515836545504037,0.4324548214577658,1.9925161945825733,0.7742407100864759
46,47,1669.878114517777,2655.0331722490682,14.080644367204117,0.3051905564183123,0.17998971062353522,1.9406670186308632,0.9946775264126613,3.783680605645002,1.588535549558263
47,48,3614.3976671785913,798.9562293119739,14.490087590118234,0.4899333783641592,0.2873685516317991,0.9519147871462675,0.3803741514842544,4.159642016367042,2.446031040216246
48,49,3563.585692855579,1929.9894780312613,13.720347319406056,0.22102197130913917,0.10039117497893275,0.8276211857209458,0.3609242147551952,1.4811215450743216,0.8042726981167541
49,50,2276.806326012789,1832.841711711815,14.06826749976284,0.3442125961637533,0.20254336679248935,0.8411672625552572,0.33037347630212116,2.7961358042051345,1.0866791825832576
50,51,533.0748321099236,1778.1785212688592,13.696811093288396,1.0727312238691222,0.6392918550290607,3.1447095330671395,1.691867038009743,3.7763914490284445,1.7495867603938573
51,52,1071.6045712387086,607.5406985849651,13.892449096669461,1.4135299940545176,0.8386976929660673,2.8896970193509612,1.5703555241870595,2.974131458970898,1.2691652714099295
52,53,3632.83547188488,642.9902855951344,13.24156982850374,0.4061887419225759,0.22968373213033677,1.041552095346239,0.4069601145625104,4.394746830063226,2.586457565669468
